fecha,max,min
03-10-2013,27.2,20.1
16-07-2014,37.3,21.8
17-07-2014,38.2,22.0
18-07-2014,37.3,22.2
19-07-2014,31.4,21.7
24-07-2014,35.0,20.7
25-07-2014,35.3,20.3
26-07-2014,34.5,21.5
27-07-2014,33.6,20.6
28-07-2014,29.5,20.4
01-08-2014,34.0,20.8
07-08-2014,34.8,20.8
08-08-2014,36.2,22.6
09-08-2014,32.2,21.7
10-08-2014,37.8,20.3
26-08-2014,35.5,20.0
27-08-2014,34.0,22.4
28-08-2014,36.1,20.8
29-08-2014,31.0,20.6
04-09-2014,32.7,22.1
05-09-2014,32.6,20.5
06-09-2014,33.8,20.0
07-09-2014,33.5,21.2
10-09-2014,32.8,20.4
12-09-2014,33.6,21.0
08-06-2015,34.8,20.0
26-06-2015,37.0,20.1
27-06-2015,36.6,20.6
28-06-2015,39.2,22.5
29-06-2015,37.6,20.2
30-06-2015,39.6,22.4
01-07-2015,38.2,23.0
02-07-2015,34.6,23.2
03-07-2015,36.5,23.0
04-07-2015,38.4,21.5
05-07-2015,40.3,22.2
06-07-2015,40.7,21.7
07-07-2015,44.5,23.2
11-07-2015,33.4,20.0
14-07-2015,38.6,20.4
15-07-2015,38.5,21.8
16-07-2015,38.6,23.0
17-07-2015,37.1,22.2
18-07-2015,34.3,21.2
20-07-2015,38.6,23.5
21-07-2015,37.0,22.0
22-07-2015,33.5,20.5
23-07-2015,36.3,20.2
24-07-2015,35.7,22.4
27-07-2015,31.7,21.6
29-07-2015,35.2,21.5
03-08-2015,35.6,22.5
05-08-2015,36.4,21.2
06-08-2015,36.6,21.1
07-08-2015,35.0,21.8
12-08-2015,36.9,23.8
13-08-2015,31.6,20.9
21-08-2015,34.4,20.4
22-08-2015,33.0,22.6
23-08-2015,32.3,20.9
26-08-2015,34.3,20.0
27-08-2015,35.3,20.5
28-08-2015,36.2,20.0
29-08-2015,35.4,21.6
30-08-2015,34.6,21.2
31-08-2015,33.0,20.0
09-06-2016,36.0,21.4
24-06-2016,36.1,20.1
01-07-2016,36.4,20.0
05-07-2016,32.4,20.0
06-07-2016,36.2,20.0
07-07-2016,35.6,22.0
08-07-2016,35.0,21.5
09-07-2016,37.0,20.2
10-07-2016,39.8,22.4
11-07-2016,35.2,21.4
19-07-2016,39.5,20.4
20-07-2016,33.3,21.3
27-07-2016,33.0,20.4
30-07-2016,42.0,21.6
31-07-2016,32.3,20.1
03-08-2016,38.6,21.4
04-08-2016,34.8,21.2
05-08-2016,30.3,20.2
17-08-2016,36.8,20.2
18-08-2016,34.0,20.5
19-08-2016,38.5,20.0
23-08-2016,36.9,20.0
28-08-2016,35.6,21.4
